ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13201574,JG413080,9/6/23 6:40,005XX W LAKE ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,121,1,34,28,6,1172491,1901698,2023,9/14/23 15:43,41.88570208,-87.64203164,"(41.885702079, -87.642031644)"
13204290,JG416723,9/6/23 20:20,003XX N MICHIGAN AVE,870,THEFT,POCKET-PICKING,RESTAURANT,FALSE,FALSE,114,1,42,32,6,1177245,1902400,2023,9/14/23 15:43,41.88752199,-87.6245529,"(41.887521986, -87.624552898)"
13202901,JG415041,9/6/23 19:00,049XX S PRINCETON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,935,9,20,37,7,1175122,1872199,2023,9/14/23 15:43,41.80469598,-87.63325322,"(41.804695984, -87.633253215)"
13209652,JG422102,9/4/23 21:00,017XX W DIVISION ST,810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,1213,12,1,24,6,1164759,1908050,2023,11/4/23 15:40,41.90329986,-87.67024472,"(41.903299855, -87.670244719)"
13202199,JG414249,9/6/23 21:30,059XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,232,2,20,40,08B,1178171,1865740,2023,9/14/23 15:43,41.78690318,-87.62226687,"(41.786903184, -87.622266865)"
13201610,JG413521,9/6/23 12:40,011XX W 17TH ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - YARD (FRONT / BACK),FALSE,TRUE,1235,12,25,31,04A,1169043,1891896,2023,9/14/23 15:43,41.85888016,-87.65497778,"(41.858880162, -87.654977778)"
13202220,JG414253,9/6/23 21:57,006XX S PULASKI RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1132,11,24,26,15,1149820,1896986,2023,9/14/23 15:43,41.87324282,-87.72540701,"(41.873242815, -87.725407013)"
13203161,JG415092,9/6/23 13:00,003XX E 71ST ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,322,3,6,69,6,1179379,1858006,2023,9/14/23 15:43,41.7656528,-87.61807357,"(41.765652804, -87.618073574)"
13202508,JG414545,9/6/23 16:00,049XX S BLACKSTONE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,222,2,4,39,14,1186758,1872618,2023,9/14/23 15:43,41.80557774,-87.59056479,"(41.805577741, -87.590564785)"
13208005,JG421114,9/5/23 15:00,023XX W GRAND AVE,1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1221,12,36,24,13,1160563,1903417,2023,9/14/23 15:41,41.89067449,-87.68578595,"(41.89067449, -87.685785948)"
13208105,JG421230,8/21/23 9:40,060XX N SHERIDAN RD,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,2433,24,48,77,08A,1168537,1940249,2023,9/14/23 15:41,41.99157427,-87.65543195,"(41.99157427, -87.655431953)"
13201796,JG413762,9/6/23 8:00,004XX N ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,1123,11,27,23,14,1152975,1902645,2023,9/14/23 15:43,41.8887098,-87.71367337,"(41.888709801, -87.713673374)"
13201668,JG413585,9/6/23 11:00,056XX N ROCKWELL ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,2011,20,40,2,5,1157988,1937276,2023,9/14/23 15:43,41.98363881,-87.69431574,"(41.983638813, -87.694315735)"
13201284,JG413014,9/6/23 2:00,009XX W BELMONT AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1924,19,44,6,08B,1169236,1921430,2023,9/14/23 15:43,41.93991914,-87.65341016,"(41.939919138, -87.653410162)"
13202926,JG414611,9/6/23 18:00,014XX E 49TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,222,2,4,39,14,1186641,1872794,2023,9/14/23 15:43,41.80606347,-87.59098831,"(41.806063471, -87.590988314)"
13209468,JG422994,8/27/13 0:00,087XX S BURLEY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,424,4,10,46,11,,,2013,9/14/23 15:43,,,
13203207,JG415445,9/6/23 8:30,074XX N SHERIDAN RD,460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,FALSE,FALSE,2422,24,49,1,08B,1165707,1949739,2023,9/14/23 15:43,42.01767601,-87.66556919,"(42.017676014, -87.665569188)"
